file,status,summary
AdminCommissionRequestIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminCommissionsCommentReadabilityTest.php,PASS,OK (2 tests; 40 assertions)
AdminCommissionTransferReconciliationClosureModuleTest.php,PASS,OK (9 tests; 159 assertions)
AdminCommissionTransferReconciliationMigrationRuntimeTest.php,PASS,OK (2 tests; 26 assertions)
AdminCommonJsCommentReadabilityTest.php,PASS,OK (2 tests; 15 assertions)
AdminCommonRuntimeLocalizationTest.php,PASS,OK (2 tests; 6 assertions)
AdminConfigCrudPermissionMigrationTest.php,PASS,OK (2 tests; 39 assertions)
AdminConfigVoucherModelCommentReadabilityTest.php,PASS,OK (2 tests; 81 assertions)
AdminContentAuthGiftModelCommentReadabilityTest.php,PASS,OK (2 tests; 69 assertions)
AdminContentCrudPermissionMigrationTest.php,PASS,OK (2 tests; 85 assertions)
AdminControllerCommentReadabilityTest.php,PASS,OK (1 test; 13 assertions)
AdminCoreMt4ModelCommentReadabilityTest.php,PASS,OK (2 tests; 108 assertions)
AdminCorePermissionMigrationTest.php,PASS,OK (1 test; 41 assertions)
AdminCrmUiBackendFieldAlignmentTest.php,PASS,OK (11 tests; 67 assertions)
AdminCrudUiControlsTest.php,PASS,OK (9 tests; 83 assertions)
AdminCssCommentReadabilityTest.php,PASS,OK (2 tests; 15 assertions)
AdminDashboardControllerCommentReadabilityTest.php,PASS,OK (1 test; 11 assertions)
AdminDashboardControllerLocalizationTest.php,PASS,OK (2 tests; 6 assertions)
AdminDataScopeBindingDeleteIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminDataScopeBindingListAdminIdValidationClosureModuleTest.php,PASS,OK (2 tests; 7 assertions)
AdminDataScopeControllerWiringTest.php,PASS,OK (4 tests; 23 assertions)
AdminDataScopeJsCommentReadabilityTest.php,PASS,OK (2 tests; 17 assertions)
AdminDataScopeManagementTest.php,PASS,OK (4 tests; 14 assertions)
AdminDataScopeRoleIdListValidationClosureModuleTest.php,PASS,OK (3 tests; 12 assertions)
AdminDataScopeRuntimeLocalizationTest.php,PASS,OK (2 tests; 86 assertions)
AdminDataScopeSchemaCommentReadabilityTest.php,PASS,OK (2 tests; 60 assertions)
AdminDataScopeServiceTest.php,PASS,OK (6 tests; 11 assertions)
AdminDepositApproveSettlementClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminDepositListStatusFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 48 assertions)
AdminDepositListUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminDepositRequestIdValidationClosureModuleTest.php,PASS,OK (4 tests; 18 assertions)
AdminDepositsJsCommentReadabilityTest.php,PASS,OK (2 tests; 17 assertions)
AdminExceptionMessageLocalizationTest.php,PASS,OK (2 tests; 50 assertions)
AdminExchangeRateModuleTest.php,PASS,OK (6 tests; 32 assertions)
AdminFinanceConfigModelCommentReadabilityTest.php,PASS,OK (2 tests; 51 assertions)
AdminFundFlowModuleTest.php,PASS,OK (8 tests; 71 assertions)
AdminFundFlowPermissionMigrationTest.php,PASS,OK (1 test; 31 assertions)
AdminFundModelCommentReadabilityTest.php,PASS,OK (2 tests; 52 assertions)
AdminGiftAddressDefaultFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminGiftDataScopeClosureModuleTest.php,PASS,OK (6 tests; 24 assertions)
AdminGiftItemNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 12 assertions)
AdminGiftModuleTest.php,PASS,OK (19 tests; 206 assertions)
AdminGiftUserIdValidationClosureModuleTest.php,PASS,OK (4 tests; 24 assertions)
AdminGroupConfigRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 21 assertions)
AdminGroupConfigsCommentReadabilityTest.php,PASS,OK (2 tests; 59 assertions)
AdminGroupConfigValueValidationClosureModuleTest.php,PASS,OK (3 tests; 20 assertions)
AdminLayoutJsCommentReadabilityTest.php,PASS,OK (2 tests; 18 assertions)
AdminLayoutShellReadabilityTest.php,PASS,OK (2 tests; 19 assertions)
AdminLayoutUiModernizationTest.php,PASS,OK (2 tests; 33 assertions)
AdminLayoutUiReferenceDensityTest.php,PASS,OK (2 tests; 25 assertions)
AdminLayuiLayoutReadableChineseTest.php,PASS,OK (1 test; 20 assertions)
AdminLegacyAdministratorsClosureModuleTest.php,PASS,OK (7 tests; 49 assertions)
AdminLegacyAgentEditFailClosedTest.php,PASS,OK (1 test; 6 assertions)
AdminLegacyAgentEditInfoClosureModuleTest.php,PASS,OK (2 tests; 7 assertions)
AdminLegacyAgentEditSaveClosureModuleTest.php,PASS,OK (3 tests; 27 assertions)
AdminLegacyAgentStatisticsAdapterTest.php,PASS,OK (13 tests; 89 assertions)
AdminLegacyAgentUpdateDebugClosureModuleTest.php,PASS,OK (1 test; 6 assertions)
AdminLegacyAgentUserSaveClosureModuleTest.php,PASS,OK (5 tests; 19 assertions)
AdminLegacyAmountWithdrawClosureModuleTest.php,PASS,OK (12 tests; 64 assertions)
AdminLegacyAuthAndCustSearchClosureModuleTest.php,PASS,OK (8 tests; 55 assertions)
AdminLegacyBatchRetryPayloadCompatibilityTest.php,PASS,OK (4 tests; 16 assertions)
AdminLegacyBatchWithdrawApplyClosureModuleTest.php,PASS,OK (7 tests; 39 assertions)
AdminLegacyCancelApplyCompatibilityTest.php,PASS,OK (3 tests; 10 assertions)
AdminLegacyCustApplyApprovalClosureModuleTest.php,PASS,OK (5 tests; 15 assertions)
AdminLegacyExportDateFilterClosureModuleTest.php,PASS,OK (2 tests; 6 assertions)
AdminLegacyFundFlowClosureModuleTest.php,PASS,OK (4 tests; 62 assertions)
AdminLegacyIpAddressDetailClosureModuleTest.php,PASS,OK (3 tests; 9 assertions)
AdminLegacyLoginCaptchaClosureTest.php,PASS,OK (5 tests; 25 assertions)
AdminLegacyLoginCaptchaImageContractTest.php,PASS,OK (2 tests; 15 assertions)
AdminLegacyMigrationGapAuditTest.php,PASS,OK (7 tests; 155 assertions)
AdminLegacyMiscOperationsClosureModuleTest.php,PASS,OK (25 tests; 86 assertions)
AdminLegacyMutationMethodBoundaryClosureTest.php,PASS,OK (9 tests; 36 assertions)
AdminLegacyOneKeySearchClosureModuleTest.php,PASS,OK (3 tests; 17 assertions)
AdminLegacyOrderParentPathClosureModuleTest.php,PASS,OK (6 tests; 43 assertions)
AdminLegacyOrderRiskSearchClosureModuleTest.php,PASS,OK (12 tests; 61 assertions)
AdminLegacyOtcWithdrawOrderIdDetailClosureModuleTest.php,KILLED,
AdminLegacyPageRenderClosureModuleTest.php,KILLED,
AdminLegacyParameterResolverClosureTest.php,PASS,OK (2 tests; 4 assertions)
AdminLegacyPaymentChannelToggleClosureModuleTest.php,KILLED,
AdminLegacyRightsAutomaticConfirmFailClosedClosureModuleTest.php,PASS,OK (2 tests; 13 assertions)
AdminLegacyRightsManualConfirmClosureModuleTest.php,PASS,OK (3 tests; 10 assertions)
AdminLegacyRouteInventoryClosureTest.php,PASS,OK (1 test; 4 assertions)
AdminLegacyRouteSemanticClosureTest.php,PASS,OK (12 tests; 148 assertions)
AdminLegacyUnsafeMutationFailClosedTest.php,PASS,OK (1 test; 1 assertion)
AdminLegacyUpdateCurrOrderIdClosureModuleTest.php,PASS,OK (4 tests; 34 assertions)
AdminLegacyUserIdCardBankClosureModuleTest.php,PASS,OK (5 tests; 18 assertions)
AdminLegacyVoucherReviewStatusCompatibilityTest.php,PASS,OK (2 tests; 6 assertions)
AdminLocalizationTest.php,PASS,OK (2 tests; 10 assertions)
AdminLoginJsCommentReadabilityTest.php,PASS,OK (2 tests; 18 assertions)
AdminMenuAuditConfigModelCommentReadabilityTest.php,PASS,OK (2 tests; 68 assertions)
AdminMenuJsCommentReadabilityTest.php,PASS,OK (2 tests; 13 assertions)
AdminMenuRequestIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminModulesClosureTest.php,PASS,OK (50 tests; 51 assertions)
AdminNeverDepositUserListMinDaysValidationClosureModuleTest.php,PASS,OK (2 tests; 7 assertions)
AdminNeverDepositUserListUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminNewsCommentReadabilityTest.php,PASS,OK (2 tests; 55 assertions)
AdminNewsRouteIdValidationClosureModuleTest.php,PASS,OK (4 tests; 26 assertions)
AdminNewsToggleModuleTest.php,PASS,OK (1 test; 6 assertions)
AdminOnlineUserDataScopeClosureTest.php,PASS,OK (1 test; 8 assertions)
AdminOnlineUserForceOfflineSessionInvalidationTest.php,PASS,OK (3 tests; 15 assertions)
AdminOnlineUserListUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminOnlineUserModuleTest.php,PASS,OK (9 tests; 46 assertions)
AdminPageMenuPermissionCoverageTest.php,KILLED,Tests: 1; Assertions: 1; Failures: 1.
AdminPaymentChannelControllerCommentReadabilityTest.php,PASS,OK (1 test; 34 assertions)
AdminPaymentChannelRouteIdValidationClosureModuleTest.php,PASS,OK (4 tests; 26 assertions)
AdminPaymentChannelToggleModuleTest.php,PASS,OK (14 tests; 47 assertions)
AdminPermissionNameReferenceDocumentationTest.php,KILLED,Tests: 1; Assertions: 7; Failures: 1.
AdminPermissionNameReferenceRowCompletenessTest.php,KILLED,Tests: 1; Assertions: 2; Failures: 1.
AdminPermissionPlanTest.php,PASS,OK (4 tests; 9 assertions)
AdminPermissionRequestIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminPermissionsJsCommentReadabilityTest.php,PASS,OK (2 tests; 13 assertions)
AdminPositionSummaryDrilldownFrontendClosureModuleTest.php,PASS,OK (2 tests; 16 assertions)
AdminPositionSummaryModuleTest.php,PASS,OK (9 tests; 60 assertions)
AdminPositionSummaryMt4AccountLinkageClosureModuleTest.php,PASS,OK (4 tests; 83 assertions)
AdminPositionSummaryNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 27 assertions)
AdminPositionSummaryRiskDrilldownClosureModuleTest.php,PASS,OK (3 tests; 28 assertions)
AdminPositionSummaryTradeAccountMappingClosureModuleTest.php,PASS,OK (3 tests; 28 assertions)
AdminPositionSummaryTradeDetailDrilldownClosureModuleTest.php,PASS,OK (3 tests; 28 assertions)
AdminProductionModuleTest.php,PASS,OK (12 tests; 95 assertions)
AdminProductionNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminProfileEditCommentReadabilityTest.php,PASS,OK (2 tests; 31 assertions)
AdminProfileInfoOwnerBoundaryClosureModuleTest.php,PASS,OK (2 tests; 14 assertions)
AdminProfilePasswordOwnerBoundaryClosureModuleTest.php,PASS,OK (3 tests; 17 assertions)
AdminProfileUpdateOwnerBoundaryClosureModuleTest.php,KILLED,
AdminProtectedRoutePermissionClosureModuleTest.php,KILLED,Tests: 4; Assertions: 224; Failures: 1.
AdminRealtimeCommissionModuleTest.php,PASS,OK (9 tests; 58 assertions)
AdminRealtimeCommissionUserIdValidationClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminReviewAuthApproveStateClosureModuleTest.php,PASS,OK (2 tests; 20 assertions)
AdminReviewAuthStatusValidationClosureModuleTest.php,PASS,OK (2 tests; 14 assertions)
AdminRightsSummaryManualConfirmModuleTest.php,PASS,OK (5 tests; 17 assertions)
AdminRightsSummaryManualConfirmRouteIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminRightsSummaryModuleTest.php,PASS,OK (5 tests; 33 assertions)
AdminRightsSummaryNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 37 assertions)
AdminRightsSummaryPermissionMigrationTest.php,PASS,OK (1 test; 13 assertions)
AdminRiskForceCloseGatewayClosureModuleTest.php,PASS,OK (3 tests; 12 assertions)
AdminRiskForceCloseRouteIdValidationClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminRiskIpDetailModuleTest.php,PASS,OK (5 tests; 26 assertions)
AdminRiskIpDetailUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminRiskIpListNumericFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 14 assertions)
AdminRiskIpModuleTest.php,PASS,OK (5 tests; 22 assertions)
AdminRiskMarginCallsNumericFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 19 assertions)
AdminRiskMt4ModuleTest.php,PASS,OK (4 tests; 34 assertions)
AdminRiskPositionsUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminRiskTradeAccountMappingClosureModuleTest.php,PASS,OK (5 tests; 50 assertions)
AdminRoleAssignPermissionIdValidationClosureModuleTest.php,PASS,OK (3 tests; 15 assertions)
AdminRolePermissionAssignmentUiTest.php,PASS,OK (1 test; 27 assertions)
AdminRolePermissionControllerReadabilityTest.php,PASS,OK (1 test; 27 assertions)
AdminRolePermissionModelReadabilityTest.php,PASS,OK (1 test; 33 assertions)
AdminRoleRequestIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminSecondBatchModuleCoverageTest.php,PASS,OK (34 tests; 86 assertions)
AdminSecondBatchPermissionMigrationTest.php,PASS,OK (1 test; 169 assertions)
AdminSecuritySequenceModelCommentReadabilityTest.php,PASS,OK (2 tests; 65 assertions)
AdminSystemConfigUpdateControllerTest.php,PASS,OK (2 tests; 4 assertions)
AdminSystemConfigUpdateIdValidationClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminSystemConfigUpdatePermissionMigrationTest.php,PASS,OK (1 test; 6 assertions)
AdminTablePermissionRefreshTest.php,PASS,OK (1 test; 2 assertions)
AdminTradeMt4PositionModuleTest.php,PASS,OK (8 tests; 93 assertions)
AdminTradeUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 24 assertions)
AdminTradingModelCommentReadabilityTest.php,PASS,OK (2 tests; 67 assertions)
AdminUndepositFlowSummaryClosureModuleTest.php,PASS,OK (2 tests; 19 assertions)
AdminUndepositFlowUserIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminUserControllerCommentReadabilityTest.php,PASS,OK (1 test; 25 assertions)
AdminUserControllerLocalizationTest.php,PASS,OK (2 tests; 36 assertions)
AdminUserDetailRouteTargetBoundaryClosureModuleTest.php,PASS,OK (2 tests; 11 assertions)
AdminUserDetailUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminUserExportModuleTest.php,PASS,OK (6 tests; 37 assertions)
AdminUserGroupCompatibilityTest.php,PASS,OK (2 tests; 8 assertions)
AdminUserGroupListNumericFilterValidationClosureModuleTest.php,PASS,OK (3 tests; 10 assertions)
AdminUserGroupRouteClosureModuleTest.php,PASS,OK (3 tests; 24 assertions)
AdminUserListExportAccountTypeValidationClosureModuleTest.php,PASS,OK (3 tests; 15 assertions)
AdminUserListExportUserIdValidationClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminUsersDetailCommentReadabilityTest.php,PASS,OK (2 tests; 33 assertions)
AdminUsersIndexCommentReadabilityTest.php,PASS,OK (2 tests; 33 assertions)
AdminUserStatsModuleTest.php,PASS,OK (2 tests; 28 assertions)
AdminUserStatusMt4SyncClosureModuleTest.php,PASS,OK (3 tests; 14 assertions)
AdminUserStatusRouteTargetBoundaryClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminUserStatusUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 9 assertions)
AdminUserStatusValidationClosureModuleTest.php,PASS,OK (3 tests; 15 assertions)
AdminUserUpdateAuthAndBankClosureModuleTest.php,PASS,OK (5 tests; 31 assertions)
AdminUserUpdateDepositWithdrawalSwitchClosureModuleTest.php,PASS,OK (3 tests; 17 assertions)
AdminUserUpdateEmailClosureModuleTest.php,PASS,OK (3 tests; 16 assertions)
AdminUserUpdateFieldWhitelistClosureModuleTest.php,PASS,OK (2 tests; 17 assertions)
AdminUserUpdateLegacyLocalProfileClosureModuleTest.php,PASS,OK (4 tests; 20 assertions)
AdminUserUpdateMt4SyncClosureModuleTest.php,PASS,OK (4 tests; 28 assertions)
AdminUserUpdateParentAgentClosureModuleTest.php,PASS,OK (5 tests; 27 assertions)
AdminUserUpdateParentHierarchyClosureModuleTest.php,PASS,OK (7 tests; 42 assertions)
AdminUserUpdatePasswordClosureModuleTest.php,PASS,OK (4 tests; 24 assertions)
AdminUserUpdateReadonlyMt4ClosureModuleTest.php,PASS,OK (4 tests; 21 assertions)
AdminUserUpdateUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 10 assertions)
AdminVoucherDataScopeClosureTest.php,PASS,OK (1 test; 10 assertions)
AdminVoucherListReviewStatusFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminVoucherRouteIdValidationClosureModuleTest.php,PASS,OK (3 tests; 19 assertions)
AdminVoucherRuntimeLocalizationTest.php,PASS,OK (2 tests; 8 assertions)
AdminWhsExpZeroModuleTest.php,PASS,OK (3 tests; 24 assertions)
AdminWhsExpZeroMt4ClosureModuleTest.php,PASS,OK (3 tests; 19 assertions)
AdminWhsExpZeroStatusFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 6 assertions)
AdminWhsExpZeroUserIdValidationClosureModuleTest.php,PASS,OK (4 tests; 19 assertions)
AdminWithdrawalFundingStateMachineClosureModuleTest.php,PASS,OK (10 tests; 34 assertions)
AdminWithdrawalRejectRefundDispatchClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminWithdrawalsCommentReadabilityTest.php,PASS,OK (2 tests; 32 assertions)
AdminWithdrawFlowCommentClassificationClosureModuleTest.php,PASS,OK (3 tests; 32 assertions)
AdminWithdrawFlowUserIdValidationClosureModuleTest.php,PASS,OK (3 tests; 13 assertions)
AdminWithdrawListStatusFilterValidationClosureModuleTest.php,PASS,OK (2 tests; 7 assertions)
AdminWithdrawListUserIdValidationClosureModuleTest.php,PASS,OK (2 tests; 8 assertions)
AdminWithdrawRequestIdValidationClosureModuleTest.php,PASS,OK (4 tests; 18 assertions)
AdminZhCnLanguageReadabilityTest.php,PASS,OK (2 tests; 25 assertions)
AgentControllerCommentReadabilityTest.php,PASS,OK (1 test; 17 assertions)
AgentHierarchyModelCommentReadabilityTest.php,PASS,OK (2 tests; 46 assertions)
AgentLevelControllerCommentReadabilityTest.php,PASS,OK (1 test; 14 assertions)
ApiResponseLocalizationContractTest.php,PASS,OK (2 tests; 245 assertions)
BigAgentControllerCommentReadabilityTest.php,PASS,OK (1 test; 10 assertions)
BlacklistControllerCommentReadabilityTest.php,PASS,OK (1 test; 12 assertions)
BladeLocalAssetReferenceTest.php,PASS,OK (1 test; 1 assertion)
BladeOnlyFrontendArchitectureTest.php,PASS,OK (2 tests; 13 assertions)
BladeRouteAliasCompatibilityTest.php,PASS,OK (2 tests; 66 assertions)
BladeStaticRouteReferenceTest.php,PASS,OK (1 test; 1 assertion)
CancelApplyControllerCommentReadabilityTest.php,PASS,OK (1 test; 11 assertions)
CommissionControllerCommentReadabilityTest.php,PASS,OK (1 test; 14 assertions)
CommissionTransferAtomicStorageMigrationTest.php,PASS,OK (2 tests; 15 assertions)
CommissionTransferManualReconciliationServiceTest.php,PASS,OK (8 tests; 70 assertions)
CommissionTransferSagaDispatchClosureModuleTest.php,PASS,OK (4 tests; 14 assertions)
CommissionTransferSagaMigrationContractTest.php,PASS,OK (3 tests; 42 assertions)
CommissionTransferSagaServiceTest.php,PASS,OK (5 tests; 22 assertions)
CommonUploadControllerCommentReadabilityTest.php,PASS,OK (3 tests; 15 assertions)
CrmUiBusinessCodeContractTest.php,PASS,OK (17 tests; 673 assertions)
CrmUiPriorityWorkflowTest.php,PASS,OK (19 tests; 822 assertions)
CrmUiStackTest.php,PASS,OK (4 tests; 443 assertions)
DashboardControllerCommentReadabilityTest.php,PASS,OK (1 test; 15 assertions)
DefaultAdminAndFrontMenuRoleMigrationTest.php,PASS,OK (2 tests; 57 assertions)
DepositControllerCommentReadabilityTest.php,PASS,OK (1 test; 20 assertions)
DepositControllerImportLocalizationTest.php,PASS,OK (3 tests; 22 assertions)
DispatchPendingDepositSettlementsCommandClosureModuleTest.php,PASS,OK (1 test; 3 assertions)
DispatchPendingWithdrawSettlementsCommandClosureModuleTest.php,PASS,OK (2 tests; 20 assertions)
DualUiFamilyDesignContractTest.php,PASS,OK (4 tests; 33 assertions)
ExampleTest.php,PASS,OK (1 test; 2 assertions)
FrontAccountControllerCommentReadabilityTest.php,PASS,OK (2 tests; 32 assertions)
FrontAccountOverviewScopeFallbackModuleTest.php,PASS,OK (2 tests; 14 assertions)
FrontAccountProfileOwnerBoundaryClosureModuleTest.php,PASS,OK (5 tests; 51 assertions)
FrontAccountTypeChangeClosureModuleTest.php,PASS,OK (8 tests; 52 assertions)
FrontAccountVoucherOwnerBoundaryClosureModuleTest.php,PASS,OK (5 tests; 38 assertions)
FrontAgentControllerCommentReadabilityTest.php,PASS,OK (2 tests; 50 assertions)
